Gene,TEFM,NOA1,YARS2,PUS1,MTIF2,TARS2,SLIRP,RPUSD4,RPUSD3,MRM3,MRRF,RCC1L,TRUB2,PTCD3,REXO2,NSUN4,MTPAP,MTERF3,siTFAM,KIAA0391,MRM1,DDX28,NGRN,MDH2,LONP1,LARS2,HADH,HARS2,siTRAP1,MRPP1,GTPBP8,GTPBP10,GRSF1,SHMT2,MTHFD1L,FASTKD3,FASTKD2,FASTKD1,ECHS1,TUFM,TSFM,GFM1,ETFB,ETFA,ELAC2,DNAJA3,POLRMT,TFB2M,TFB1M,DLD,PPIF,siDDX20,siC1QBP,siTACO1,siGADD45GIP1,CS,TBRG4,SSBP1,PTCD1,CPS1,SUPV3L1,ACLY,GOT2,PRDX5,TXLNA,AARS2,ACADM,ACSF3,ACO2,ACAT1,HSPA9,PNPT1,HSD17B10,LRPPRC,MCAT,U2SURP,DHX15,SHC1,IK,CAPRIN1,KARS,PCK2,LRRFIP1,ZCCHC8,FNBP4,RNF214,PTCD2,PHF3
ND1_H,-1.143516706,-0.7154039,0.313400052,-0.114404411,-0.209758542,-0.247381859,-0.174693565,2.496344,-0.575058556,-0.660299123,0.551511943,0.912953873,3.010520757,2.567153422,4.26959849,1.474317373,3.859472389,1.896139056,-0.097385248,1.871291898,0.987461967,2.49418382,0.568613949,1.869624519,1.646754297,2.059051908,1.19642334,3.087347221,-0.084254106,0.115490112,3.947522513,-0.097353566,0.327469838,4.322228661,3.937408498,2.684156164,2.012567952,0.152168248,0.560609055,1.674700546,-0.003897692,0.409675306,0.806639379,0.594119148,2.744630585,2.047099279,-1.503960508,0.254482269,4.890451419,3.3031552,-0.209973755,0.911207244,1.624451955,-0.56775554,-0.908195813,2.316427542,1.294661255,1.871438732,2.684400393,1.211912944,2.807621638,1.080113487,1.147649612,3.215060908,4.576961435,3.54519043,4.01019043,1.326606598,1.038553975,0.905135142,3.381356564,2.777857717,3.024524384,0.50997289,0.826307774,0.815844059,0.361291186,-0.448708814,0.039624519,0.334491094,0.390938759,0.187304815,-0.143865108,-1.238749027,2.434314251,0.362601121,0.361291186,0.734624519
ND1_L,0.640680923,0.885730375,0.984849536,1.053614845,0.300774555,0.977683334,0.536734333,-0.36657032,0.4700914,-0.374134947,-0.288751615,0.233822289,2.31990715,1.803342578,1.42399353,1.832250875,2.215433985,1.597100652,-0.510723432,0.870084953,0.642950376,0.840457687,-1.058439064,-0.134634768,-0.097620678,-0.018659115,-0.228186709,-0.359330527,-0.453660806,0.448504868,0.486356544,0.157336235,0.329791692,4.808988717,0.914464315,0.810642713,0.347742023,-0.384483369,-0.141042557,0.14995299,-1.30703818,-0.239758593,0.111523259,-0.224053338,1.003743006,0.948079503,0.594182358,-0.088897069,0.731428789,0.37843139,-0.525306307,0.443781579,-1.316942215,0.627708117,-0.111958504,-0.600169659,-0.992370243,-0.956234436,-0.525606791,0.585830688,0.408134995,1.659080531,1.57131813,1.371483116,2.341200218,1.606783956,3.665117289,0.555814292,0.318939934,0.121779594,0.618851846,0.763935598,-0.012731069,1.57564799,2.127761682,2.666531404,0.500365232,-0.006301435,0.543698565,0.205054442,0.296528021,-0.158026536,-1.137615363,0.556198279,1.995597204,2.13356177,-0.169634768,0.413698565
ND4_H,-1.348890464,-0.364244887,0.227242514,0.110462367,-0.293218422,0.131390864,-1.17410677,1.145591488,-0.890066891,-0.97241546,-0.140198027,-0.248661181,1.665588055,1.53697298,2.477632688,0.575627003,2.186489894,1.01315656,0.312852542,0.584439068,0.231212076,2.182614619,-0.374196262,1.092791513,-0.106233788,0.5121326,0.21220192,1.448092747,-0.020747026,-0.478060417,1.896397559,-0.497179012,-0.117850183,4.588630657,2.531837959,1.878091621,1.188174763,-1.333811506,-0.658132788,-0.176433099,-1.036385282,-1.129417362,-0.047380791,-0.710535552,0.171478087,0.783322633,-0.731199646,-0.414489905,1.799196097,0.452834422,-0.982408803,1.367410469,1.8239398,-0.139027278,-0.429837386,1.765302442,0.54954738,0.412192052,0.806800626,0.370312475,1.124490681,0.500355574,0.553158194,1.944833126,2.997388058,1.953287309,3.613287309,0.415857538,0.093872655,-0.288562234,1.277220631,1.025068925,0.975068925,0.142086506,0.608728409,0.928872267,-0.517208487,-0.927208487,-0.465541821,-0.108440876,-0.177282333,-0.547526995,-1.136951447,-0.806014379,2.133427143,0.883522669,-0.283875154,-0.388875154
ND4_L,0.832096774,0.967216949,0.391582019,0.238449802,-0.919340185,-0.832535763,-0.124663245,-3.917637933,0.381468048,-0.363335978,-1.210277983,-0.912913876,2.411227563,1.375193087,-1.168568942,2.070149123,1.032040393,1.425373726,-0.672005971,0.948305086,0.449050751,-5.578689073,-1.896546885,-0.647753747,-0.838826466,-2.521731586,-0.662975127,-4.062557189,-0.503858725,0.082677441,-5.111218103,0.234626687,0.729802965,-1.410329978,-3.116890672,0.303129215,-0.991850204,-0.963940951,-1.52688537,-1.019002628,-1.549443258,-0.84996308,-0.653117148,0.806822211,0.864490693,0.556571128,-0.626955763,-0.275408745,-1.790891692,-1.906917667,-0.567986075,-0.278526789,0.460814158,0.845832666,0.629059156,-5.430749213,-1.953102805,-2.387912108,-3.55737332,0.4319406,-2.221117331,1.672322718,1.338064378,-2.757339923,-2.097621155,-3.185447845,-4.035447845,0.602690862,-0.003081792,-0.001647428,-1.352090034,-0.070299218,-1.903632552,-0.894557476,-0.784933885,-0.958767732,0.120579586,-0.107753747,0.677246253,-0.380146027,1.556995551,1.368443012,1.561311881,1.761329492,-5.436182817,-0.165160497,-0.217753747,0.357246253
ND5_H,-1.413781319,-1.310597954,-0.204449902,-0.25137605,-1.027444992,-1.074910291,-0.657833875,1.231140696,-0.557147598,-0.32426403,0.108287964,-0.083614146,2.1037286,1.851550293,2.757977982,0.884291,2.383007914,1.251341248,-0.052470525,1.169110692,0.546439896,1.525020205,-0.281141046,1.535790888,0.243435243,1.028348401,0.837645651,1.569767017,-0.315161228,-0.596722215,2.105427284,-0.642725385,-0.080579096,0.832258123,2.294748866,2.072202314,1.630453866,-0.579671148,-0.009708646,0.25395401,-0.645375493,-0.205053088,0.207558848,0.096948369,1.171662509,0.085996183,-1.548820655,0.105621656,2.942104899,2.201762409,-0.462912661,1.205564556,1.721035322,-0.564321836,-0.619747798,0.738164037,0.494283975,0.646782824,0.877820422,0.853459129,1.404692345,0.411759211,0.850158132,1.983739904,2.938814316,1.792905312,1.844571978,1.033967145,0.592121874,0.306296844,1.968139458,1.556778475,1.546778475,-0.562813759,-0.600875378,-0.671076616,-1.490875778,-1.735875778,-2.037542445,0.697138468,0.72705396,0.327678998,0.085944812,-0.895092328,1.90820233,0.102283796,0.239124222,0.262457555
ND5_L,0.690495714,0.535079339,0.666933053,0.162246291,-1.463758742,-0.448347492,0.302788054,-2.434368064,0.202353554,-0.089553878,-0.771463299,-0.335002206,2.44858956,1.977088197,0.518406531,2.346748428,1.984238135,1.534238135,-0.875547886,1.054423275,0.741845652,-3.470793196,-1.307639338,-0.221739877,-0.531674239,-2.147419987,-0.26522651,-2.368244979,-0.964144071,-0.748920638,-2.419794572,0.174743773,0.468691546,-3.061473071,-1.309637744,0.541731199,-0.564237912,-0.286830571,-1.300009073,-0.361519184,-1.487946657,-0.362120902,-0.235187893,-0.089202391,0.252410901,0.230259539,-1.158978176,-0.313095252,-0.925639839,-1.004086914,-0.470198778,0.215528005,0.791947365,0.896022161,0.516144753,-1.647800897,-0.820063686,-1.124264215,-1.669019833,1.166460857,-0.202474995,1.997527943,1.955056833,-1.259860083,-0.088605061,-1.394132888,-1.930799554,0.414177672,0.003134251,0.098313096,-0.383397643,0.558591315,-0.773075352,0.753714244,1.021381855,1.09028546,-1.366739877,-0.713406544,-1.626739877,1.569556395,2.438646475,1.579213619,2.205287457,0.906270981,-5.466880639,-2.203989665,0.056593456,0.536593456
ND6_H,-0.632626076,-0.712544492,0.282590574,0.258152733,-0.417911479,-0.565326996,-1.004304733,-0.021030134,-0.990788282,-0.57538208,-0.697394651,-0.581075668,2.293203634,2.058624929,2.549359207,1.370886447,2.55704539,1.230378723,0.129465103,1.100536118,0.428076541,0.780537376,-0.568030268,0.865979335,-0.071881339,0.803185056,0.437297757,1.061370646,-0.30722777,-0.113110059,1.561339175,-0.495794767,-0.069757868,0.673025208,2.071223424,2.147293676,1.527277203,-0.496820183,0.157639554,0.005694682,-0.759988836,-0.409899,0.242262344,-0.052755852,0.906061948,-0.169641355,-1.361162084,-0.167665799,2.358626149,1.648007113,-0.915849991,0.980899925,1.637616793,-0.604016463,-0.571866671,0.138436642,0.188930066,0.089305038,0.348038521,0.685685323,1.254098358,0.594507942,0.984626516,2.043599141,2.612113088,1.737019984,1.693686651,1.133851306,0.64585659,0.297091153,1.747018433,1.725694949,1.625694949,-0.468995889,-0.238277594,-0.197326819,-0.800687332,-0.602353999,-1.245687332,0.327816804,0.516708374,0.12013944,-0.127147675,-0.352810224,1.293232441,0.626780033,0.319312668,-0.029020665
ND6_L,0.040981954,-0.23686999,-0.077583669,-0.225687981,-1.616272443,-1.62720679,-0.301043288,-2.729396502,-0.131124522,-0.729569213,-0.798042425,-0.523348757,1.767616431,1.486410446,0.012305927,1.652099291,1.690675958,1.287342625,-0.432634989,1.008182093,0.799466597,-4.036158498,-1.108866488,0.221893222,-1.049500052,-2.183641586,-0.386692155,-3.229976718,-0.479581038,-0.775898018,-3.460961405,-0.493393904,-0.114231923,-3.998536612,-2.363636341,0.60418197,-0.464796988,-0.630545673,-1.403021558,-0.767842306,-1.72574494,-0.675821476,-0.160933259,-0.342966143,0.053416805,-0.473076865,-1.012302157,-0.375141621,-1.21117122,-1.043211435,-0.712908859,0.860560195,0.968590418,0.688281059,0.355228742,-2.768291728,-0.880685927,-1.763298047,-2.757213529,0.509915415,-1.42469101,1.003629996,1.177385712,-1.855848796,-1.521770007,-1.976654612,-3.421654612,0.556125806,-0.092920589,-0.101201865,-0.752152754,0.293948542,-0.832718124,-0.213159879,-0.447052956,0.074712753,-0.368106778,-0.466440112,-0.616440112,-0.097980181,1.408715248,1.176092466,1.38264974,0.642463684,-4.085010529,-0.561934789,0.268559888,0.476893222
CYTB_H,-0.671244316,-0.137791398,0.933502731,0.955303389,0.719640452,1.477478778,-1.302295125,1.368537916,-1.458659147,0.021755778,-0.020902176,0.278809446,1.072305667,1.046677437,2.702195441,0.622254677,2.107057406,0.923724073,0.228579998,0.177782726,-0.356376483,3.588596725,0.341717116,1.194150213,0.071208172,1.106291765,1.092366905,3.048321578,0.15754048,-0.972825324,2.610207094,-0.934188608,-0.865412547,5.843558852,2.35640597,1.224103292,1.130630271,-2.034672527,-1.861065877,-1.120572764,-1.310214628,-2.215517019,-0.287179502,-0.434407177,0.654898039,0.046972656,-0.876782748,-0.22382768,2.007406712,1.186311442,-0.04262598,1.006633135,1.038489501,-0.354941368,-0.703325431,1.111960386,0.374413287,0.994044819,1.502941265,1.143147761,2.031986294,0.806256777,0.787693723,2.455978578,3.27752718,2.796694667,5.166694667,1.037625326,0.31208168,0.137562574,1.997716122,1.514621201,1.667954534,0.767707666,1.323877176,1.706827323,-0.184183121,-0.997516454,-0.087516454,-0.078867912,-0.062416236,-0.603906155,-1.131322543,-1.08521986,2.927714507,0.594972293,-0.284183121,-0.695849787
CYTB_L,0.695700709,1.202443771,1.613584112,1.056878522,-0.0517991,0.594268125,0.19008405,-2.885281982,1.081227544,0.393306961,-0.593978869,-0.120836728,2.26827287,1.738457858,-1.155499751,2.458685074,1.964970182,1.969970182,-1.406726837,0.408803291,0.35739399,-3.626545715,-1.177687022,-0.433924815,-0.177583059,-1.527455762,0.149864667,-2.084911664,-0.549210548,0.85162117,-3.750223796,0.464925156,1.096701914,2.218546486,-1.203652992,1.296428452,0.021957919,0.837976926,0.139707756,1.010887502,0.398824844,1.346816419,1.041794217,0.319276136,1.17449,0.64027813,0.703312937,0.391180038,-1.598673426,-1.134689674,0.531143595,-0.010302779,1.260662715,0.293291092,0.872330348,-3.572155724,-1.920265732,-1.588014018,-1.872037977,0.242444903,-1.258830592,2.929251302,2.961507848,-1.19664758,-1.087437363,-1.445898221,-0.489231555,1.828014882,0.952782059,1.813591995,-0.01542263,2.170447146,-0.227886187,0.844624201,1.383359273,1.379419645,1.252741852,1.006075185,1.716075185,-0.120967865,1.67885526,1.570716858,1.797314644,1.715629896,-3.100087802,0.468244235,0.316075185,1.392741852
